# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 23:11:15+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-21.11.05-482568
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-21.11.05-482568
#
# GRHYDRO::dens (grhydro-dens)
# 1:iteration 2:time 3:data
# data columns: 3:dens
43008 42 1.10596470425679e-10
43520 42.5 1.10596470425679e-10
44032 43 1.10596470425679e-10
44544 43.5 1.10596470425679e-10
45056 44 1.10596470425679e-10
45568 44.5 1.10596470425679e-10
46080 45 1.10596470425679e-10
46592 45.5 1.10596470425679e-10
47104 46 1.10596470425679e-10
47616 46.5 1.10596470425679e-10
48128 47 1.10596470425679e-10
48640 47.5 1.10596470425679e-10
49152 48 1.10596470425679e-10
49664 48.5 1.10596487174746e-10
50176 49 1.10596491519181e-10
50688 49.5 1.10596491519181e-10
51200 50 1.10596491519181e-10
51712 50.5 1.10596491519181e-10
52224 51 1.10596491519181e-10
52736 51.5 1.10596491519181e-10
53248 52 1.10596491519181e-10
53760 52.5 1.10596491519181e-10
54272 53 1.10596491519181e-10
54784 53.5 1.10596491519181e-10
55296 54 1.10596491519181e-10
55808 54.5 1.10596491519181e-10
56320 55 1.10596491519181e-10
56832 55.5 1.10596491519181e-10
57344 56 1.10596491519181e-10
57856 56.5 1.10596491519181e-10
58368 57 1.10596491519181e-10
58880 57.5 1.10596491519181e-10
59392 58 1.10596491519181e-10
59904 58.5 1.10596491519181e-10
60416 59 1.10596491519181e-10
60928 59.5 1.10596491519181e-10
61440 60 1.10596491519181e-10
61952 60.5 1.10596491519181e-10
62464 61 1.10596491519181e-10
62976 61.5 1.10596491519181e-10
63488 62 1.10596491519181e-10
64000 62.5 1.10596491519181e-10
64512 63 1.10596491519181e-10
65024 63.5 1.10596491519181e-10
65536 64 1.10596491519181e-10
66048 64.5 1.10596491519181e-10
66560 65 1.10596491519181e-10
67072 65.5 1.10596491519181e-10
67584 66 1.10596491519181e-10
68096 66.5 1.10596491519181e-10
68608 67 1.10596491519181e-10
69120 67.5 1.10596491519181e-10
69632 68 1.10596491519181e-10
70144 68.5 1.10596491519181e-10
70656 69 1.10596491519181e-10
71168 69.5 1.10596491519181e-10
71680 70 1.10596491519181e-10
72192 70.5 1.10596491519181e-10
72704 71 1.10596491519181e-10
73216 71.5 1.10596491519181e-10
73728 72 1.10596491519181e-10
74240 72.5 1.10596491519181e-10
74752 73 1.10596491519181e-10
75264 73.5 1.10596491519181e-10
