# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 23:41:34+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-21.41.24-497199
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-21.41.24-497199
#
# CARPET::physical_time_per_hour (carpet-timing)
# 1:iteration 2:time 3:data
# data columns: 3:physical_time_per_hour 4:current_physical_time_per_hour 5:time_total 6:time_evolution 7:time_computing 8:time_communicating 9:time_io 10:evolution_steps_count 11:local_grid_points_per_second 12:total_grid_points_per_second 13:local_grid_point_updates_count 14:total_grid_point_updates_count 15:local_interior_points_per_second 16:total_interior_points_per_second 17:local_interior_point_updates_count 18:total_interior_point_updates_count 19:io_per_second 20:io_bytes_per_second 21:io_bytes_ascii_per_second 22:io_bytes_binary_per_second 23:io_count 24:io_bytes_count 25:io_bytes_ascii_count 26:io_bytes_binary_count 27:comm_per_second 28:comm_bytes_per_second 29:comm_count 30:comm_bytes_count 31:time_levels 32:current_walltime 33:syncs_count
15872 15.5 1212.18293498691 1209.95000111575 55.0232238769531 46.032655954361 44.0423414707184 0 10.9843873977661 217 329530.584006264 329530.584006264 15169168 15169168 193863.069922529 193863.069922529 8924032 8924032 322.560598407731 421298.200714117 5191.75034308999 416106.450371027 3546 4626434 57218 4569216 0 0 0 0 54.6610009670258 1752356540.40846 47147
16384 16 1212.32880319163 1209.97832196014 56.5024309158325 47.5118629932404 45.4016439914703 0 11.155953168869 224 329570.238115642 329570.238115642 15658496 15658496 193886.398462435 193886.398462435 9211904 9211904 335.471712534827 455176.019000141 5270.61733538874 449905.401664752 3806 5179779 58707 5121072 0 0 0 0 56.1213812828064 1752356541.88767 48655
16896 16.5 1213.34584865714 1209.95264597544 57.9461069107056 48.9555389881134 46.7793407440186 0 11.1703615188599 231 329846.720795389 329846.720795389 16147824 16147824 194049.053413682 194049.053413682 9499776 9499776 342.802915621157 463967.895688204 5368.51932825829 458599.376359945 3832 5181230 60158 5121072 0 0 0 0 57.5608358383179 1752356543.33134 50163
17408 17 1214.91554092438 1210.01858435333 59.3644399642944 50.3738720417023 48.1361997127533 0 11.2551155090332 238 330273.439894135 330273.439894135 16637152 16637152 194300.092553879 194300.092553879 9787648 9787648 349.654078648801 462792.288336258 5472.54054272361 457319.747793534 3966 5202014 61646 5140368 0 0 0 0 58.9669933319092 1752356544.74968 51671
17920 17.5 1217.15165938356 1210.10298485036 60.7507569789886 51.7601890563965 49.4841177463531 0 11.2706413269043 245 330881.326212689 330881.326212689 17126480 17126480 194657.712494481 194657.712494481 10075520 10075520 353.965358937576 461829.112707184 5582.32128511031 456246.791422074 3992 5203469 63101 5140368 0 0 0 0 60.3414659500122 1752356546.13599 53179
18432 18 1217.70699340849 1210.26823114546 62.2053399085999 53.2147719860077 50.8138570785522 0 11.4474284648895 252 331032.293150329 331032.293150329 17615808 17615808 194746.52644805 194746.52644805 10363392 10363392 366.062966710592 494215.378629199 5652.46868740888 488562.90994179 4252 5756812 64588 5692224 0 0 0 0 61.7841556072235 1752356547.59058 54687
18944 18.5 1218.69952801876 1210.38435427 63.6389849185944 54.6484169960022 52.1798028945923 0 11.463356256485 259 331302.112581312 331302.112581312 18105136 18105136 194905.261405453 194905.261405453 10651264 10651264 372.976010944568 502483.684083153 5744.56360516122 496739.120477991 4278 5758261 66037 5692224 0 0 0 0 63.2066206932068 1752356549.02422 56195
19456 19 1218.09570848772 1210.51145904335 65.1437909603119 56.1532230377197 53.6213858127594 0 11.5486035346985 266 331137.96491271 331137.96491271 18594464 18594464 194808.693218764 194808.693218764 10939136 10939136 379.434670454082 501056.500450025 5843.22449504402 495213.275954981 4412 5779049 67529 5711520 0 0 0 0 64.6995553970337 1752356550.52903 57703
19968 19.5 1219.326975976 1210.64695716246 66.5633120536804 57.5727441310883 55.0032033920288 0 11.5640587806702 273 331472.683611325 331472.683611325 19083792 19083792 195005.608460091 195005.608460091 11227008 11227008 383.56040845091 500020.645928268 5949.16553233975 494071.480395928 4438 5780502 68982 5711520 0 0 0 0 66.1074979305267 1752356551.94855 59211
20480 20 1219.63269063175 1210.83164102225 68.0247349739075 59.0341670513153 56.3446114063263 0 11.7381088733673 280 331555.791800808 331555.791800808 19573120 19573120 195054.501065302 195054.501065302 11514880 11514880 395.201298453037 531405.165714816 6016.20347536718 525388.962239449 4698 6333847 70471 6263376 0 0 0 0 67.5572018623352 1752356553.40997 60719
20992 20.5 1220.02321775421 1210.96551217952 69.4812200069427 60.4906520843506 57.7307343482971 0 11.7542207241058 287 331661.95616513 331661.95616513 20062448 20062448 195116.957634078 195116.957634078 11802752 11802752 401.685524932084 539134.652305953 6103.40730446594 533031.245001487 4724 6335303 71927 6263376 0 0 0 0 69.0024733543396 1752356554.86646 62227
21504 21 1222.09730435619 1211.15541140364 70.8514358997345 61.8608679771423 59.036833524704 0 11.841071844101 294 332225.794303337 332225.794303337 20551776 20551776 195448.663999792 195448.663999792 12090624 12090624 407.800436025047 537505.774499973 6197.16158664298 531308.61291333 4858 6356090 73418 6282672 0 0 0 0 70.3611359596252 1752356556.23667 63735
22016 21.5 1223.48027449719 1211.35616960938 72.2527239322662 63.2621560096741 60.4003281593323 0 11.8581357002258 301 332601.753199534 332601.753199534 21041104 21041104 195669.840877808 195669.840877808 12378496 12378496 411.731104283906 536375.018333217 6298.89529764827 530076.123035569 4884 6357538 74866 6282672 0 0 0 0 71.7499887943268 1752356557.63796 65243
22528 22 1224.01579957375 1211.60519071648 73.6956150531769 64.7050471305847 61.7241020202637 0 12.0240116119385 308 332747.33509657 332747.33509657 21530432 21530432 195755.486808275 195755.486808275 12666368 12666368 422.837112241625 566671.395783392 6361.26776879667 560310.128014596 5144 6910882 76354 6834528 0 0 0 0 73.1824827194214 1752356559.08085 66751
23040 22.5 1224.23323542923 1211.80899614022 75.1544308662415 66.1638629436493 63.1187319755554 0 12.0408477783203 315 332806.444792286 332806.444792286 22019760 22019760 195790.261083046 195790.261083046 12954240 12954240 429.223100953262 574301.75536786 6447.07056106628 567854.684806794 5170 6912332 77804 6834528 0 0 0 0 74.6298699378967 1752356560.53967 68259
23552 23 1225.59809116216 1212.0481421172 76.5494198799133 67.5588519573212 64.4485912322998 0 12.1275255680084 322 333177.479306777 333177.479306777 22509088 22509088 196008.540943908 196008.540943908 13242112 13242112 435.011531300226 572477.075887377 6536.32923027951 565940.746657098 5304 6933120 79296 6853824 0 0 0 0 76.0127561092377 1752356561.93466 69767
24064 23.5 1226.87610202343 1212.28632696178 77.9461860656738 68.9556181430817 65.807464838028 0 12.1425430774689 329 333524.9051394 333524.9051394 22998416 22998416 196212.931800938 196212.931800938 13529984 13529984 438.761208871826 571260.091566072 6635.21292642949 564624.878639642 5330 6934576 80752 6853824 0 0 0 0 77.3982923030853 1752356563.33142 71275
24576 24 1227.27633330276 1212.56611447643 79.3903610706329 70.3997931480408 67.1285881996155 0 12.3131396770477 336 333633.707567984 333633.707567984 23487744 23487744 196276.94034474 196276.94034474 13817856 13817856 449.200948177648 600317.105644545 6690.71274300912 593626.392901536 5590 7487919 82239 7405680 0 0 0 0 78.8306584358215 1752356564.7756 72783
25088 24.5 1226.11489651017 1212.78661105532 80.9250988960266 71.9345309734344 68.6010322570801 0 12.3276786804199 343 333317.972266404 333317.972266404 23977072 23977072 196091.193048986 196091.193048986 14105728 14105728 455.369170291968 607685.938368163 6773.90040525909 600912.037962904 5616 7489371 83691 7405680 0 0 0 0 80.3542509078979 1752356566.31033 74291
25600 25 1227.2533012935 1213.02398684696 82.3250620365143 73.3344941139221 69.9372403621674 0 12.4223585128784 350 333627.44634186 333627.44634186 24466400 24466400 196273.256861091 196273.256861091 14393600 14393600 460.936567388958 605794.88446629 6859.55951206246 598935.324954228 5750 7510152 85176 7424976 0 0 0 0 81.7414526939392 1752356567.7103 75799
26112 25.5 1228.56640127904 1213.26105789209 83.7118039131165 74.7212359905243 71.2775824069977 0 12.4377906322479 357 333984.411113927 333984.411113927 24955728 24955728 196483.259482777 196483.259482777 14681472 14681472 464.202764697384 604090.090907879 6949.69121769919 597140.39969018 5776 7511599 86623 7424976 0 0 0 0 83.117422580719 1752356569.09704 77307
26624 26 1228.68564910391 1213.53378416102 85.1695320606232 76.178964138031 72.6179735660553 0 12.6041102409363 364 334016.828502621 334016.828502621 25445056 25445056 196502.330654911 196502.330654911 14969344 14969344 474.363402965202 632429.351576973 7003.91111096253 625425.44046601 6036 8064943 88111 7976832 0 0 0 0 84.5633602142334 1752356570.55477 78815
27136 26.5 1228.79770189109 1213.76956022105 86.6274318695068 77.6368639469147 74.0119388103485 0 12.619441986084 371 334047.289928313 334047.289928313 25934384 25934384 196520.251132662 196520.251132662 15257216 15257216 480.203189173184 639387.375679644 7082.95740649883 632304.418273145 6062 8066395 89563 7976832 0 0 0 0 86.0094525814056 1752356572.01267 80323
27648 27 1229.96004966852 1214.02300373132 88.0175249576569 79.0269570350647 75.336484670639 0 12.7096011638641 378 334363.272880109 334363.272880109 26423712 26423712 196706.144121209 196706.144121209 15545088 15545088 485.44913198503 637290.302458341 7164.08101731254 630126.221441029 6196 8087176 91048 7996128 0 0 0 0 87.3871352672577 1752356573.40276 81831
28160 27.5 1231.1221108147 1214.27433259169 89.4050118923187 80.4144439697266 76.6843707561493 0 12.7252929210663 385 334679.177911519 334679.177911519 26913040 26913040 196891.991269138 196891.991269138 15832960 15832960 488.8118400196 635850.262059642 7255.53052020087 628594.731539441 6222 8088631 92503 7996128 0 0 0 0 88.7633152008057 1752356574.79025 83339
