# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 23:41:34+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-21.41.24-497199
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-21.41.24-497199
#
# HYDROBASE::rho (hydrobase-rho)
# 1:iteration 2:time 3:data
# data columns: 3:rho
24576 24 0.00127927941198783
25088 24.5 0.00127925076407675
25600 25 0.00127919579920765
26112 25.5 0.00127912571645553
26624 26 0.00127903807697676
27136 26.5 0.0012789404731333
27648 27 0.00127882806693752
28160 27.5 0.00127869161655329
28672 28 0.00127854221694798
29184 28.5 0.0012783775394778
29696 29 0.00127818616544971
30208 29.5 0.00127797233766247
30720 30 0.00127773773861072
31232 30.5 0.00127747547740191
31744 31 0.00127718267071295
32256 31.5 0.00127686111775831
32768 32 0.00127651455720423
33280 32.5 0.00127614219665848
33792 33 0.0012757404130893
34304 33.5 0.00127530802550886
34816 34 0.00127484758627207
35328 34.5 0.0012743657969465
35840 35 0.00127386629606406
36352 35.5 0.00127334717254529
36864 36 0.00127281261577221
37376 36.5 0.00127227316403148
37888 37 0.00127173678031288
38400 37.5 0.00127120884423643
38912 38 0.00127069300374625
39424 38.5 0.00127018846964399
39936 39 0.00126969780106364
40448 39.5 0.0012692269961061
40960 40 0.00126877913737585
41472 40.5 0.00126835888554078
41984 41 0.00126796599863988
42496 41.5 0.00126760274516977
43008 42 0.00126727301040885
43520 42.5 0.00126697450949327
44032 43 0.00126671315248205
44544 43.5 0.00126649138205547
45056 44 0.00126630814846315
45568 44.5 0.00126616721981735
46080 45 0.00126606647094312
46592 45.5 0.00126600859313102
47104 46 0.00126599929206064
47616 46.5 0.00126603322940406
48128 47 0.0012661075758241
48640 47.5 0.00126623172013872
49152 48 0.00126640331271975
49664 48.5 0.00126661305162238
50176 49 0.0012668683824071
50688 49.5 0.00126717891837431
51200 50 0.00126753060116382
51712 50.5 0.00126792069234644
52224 51 0.00126836806764704
52736 51.5 0.00126885493707545
53248 52 0.00126937313763849
53760 52.5 0.00126994173220281
54272 53 0.00127055150530049
54784 53.5 0.00127119922822331
55296 54 0.00127189834202306
55808 54.5 0.00127263543185529
56320 55 0.00127340373290633
56832 55.5 0.00127420843479502
57344 56 0.00127501625153824
57856 56.5 0.00127581315044942
58368 57 0.00127661105512143
58880 57.5 0.0012774265683052
59392 58 0.00127827882778775
59904 58.5 0.00127916239604586
60416 59 0.00128009037167004
60928 59.5 0.00128106849440594
61440 60 0.00128206725292273
61952 60.5 0.00128306269223685
62464 61 0.00128407669051924
62976 61.5 0.00128511036847221
63488 62 0.00128608030883225
64000 62.5 0.00128693693141546
64512 63 0.0012877895719405
65024 63.5 0.00128870417498103
65536 64 0.00128957126585018
66048 64.5 0.00129041826987668
66560 65 0.00129140783400468
67072 65.5 0.0012925093302839
67584 66 0.00129366378077064
68096 66.5 0.00129492318610023
68608 67 0.00129642038703738
69120 67.5 0.00129813743155003
69632 68 0.0013001155793634
70144 68.5 0.00130246356443979
70656 69 0.00130521070946973
71168 69.5 0.00130852291543798
71680 70 0.00131241574830346
72192 70.5 0.00131668855953702
72704 71 0.00132132724480021
73216 71.5 0.00132604069380798
73728 72 0.00133068659913108
74240 72.5 0.00133518823692447
74752 73 0.0013393560830553
75264 73.5 0.00134319005661692
75776 74 0.00134666687650226
76288 74.5 0.00134971188649862
76800 75 0.00135225131717226
77312 75.5 0.0013541898612675
77824 76 0.0013554937341572
78336 76.5 0.00135622945279545
78848 77 0.00135632477794451
79360 77.5 0.00135571569571656
79872 78 0.00135465839646736
80384 78.5 0.00135332750865757
80896 79 0.00135189474946257
81408 79.5 0.00135044683909075
81920 80 0.00134902170431235
82432 80.5 0.00134768322144489
82944 81 0.0013464843382436
83456 81.5 0.00134556448759534
83968 82 0.0013450295070259
84480 82.5 0.00134510150510965
84992 83 0.00134587211929247
85504 83.5 0.0013472654379058
86016 84 0.00134915402636524
86528 84.5 0.00135151670650971
87040 85 0.00135438374298147
87552 85.5 0.00135761083188046
88064 86 0.00136101305690084
88576 86.5 0.00136444087999982
89088 87 0.0013678590586271
89600 87.5 0.00137106046810552
90112 88 0.00137380806052342
90624 88.5 0.00137592573546724
91136 89 0.00137709452607192
91648 89.5 0.00137710690606642
92160 90 0.00137631459625763
92672 90.5 0.0013747043154447
93184 91 0.0013726661274788
93696 91.5 0.00137036645733362
94208 92 0.00136730401856181
94720 92.5 0.00136417371548957
95232 93 0.00136132704701459
95744 93.5 0.00135789901936442
96256 94 0.00135514681219457
96768 94.5 0.00135326744568613
97280 95 0.00135126134705344
97792 95.5 0.00135036498811661
98304 96 0.00135072028748715
98816 96.5 0.00135160048250846
99328 97 0.00135360702257392
99840 97.5 0.00135575000739575
100352 98 0.00135865721173173
100864 98.5 0.00136152819022664
101376 99 0.00136437209818769
101888 99.5 0.00136744414291039
102400 100 0.00136999269300541
102912 100.5 0.00137288706738755
103424 101 0.00137513666139888
103936 101.5 0.0013769635619226
104448 102 0.00137852792979859
104960 102.5 0.00137897709462657
105472 103 0.00137943778776516
105984 103.5 0.00137929846182835
106496 104 0.00137883359074952
107008 104.5 0.00137850928641261
107520 105 0.00137793434265773
108032 105.5 0.0013775641361871
108544 106 0.00137724338179238
109056 106.5 0.00137755306877591
109568 107 0.00137821447138309
110080 107.5 0.00137969378457692
110592 108 0.00138222556322904
111104 108.5 0.00138622307181652
111616 109 0.00139134482996173
112128 109.5 0.00139759665557504
112640 110 0.00140530793647023
113152 110.5 -nan
113664 111 -nan
114176 111.5 -nan
114688 112 -nan
