# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 18:58:29+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-16.58.16-367870
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-16.58.16-367870
#
# CARPET::physical_time_per_hour (carpet-timing)
# 1:iteration 2:time 3:data
# data columns: 3:physical_time_per_hour 4:current_physical_time_per_hour 5:time_total 6:time_evolution 7:time_computing 8:time_communicating 9:time_io 10:evolution_steps_count 11:local_grid_points_per_second 12:total_grid_points_per_second 13:local_grid_point_updates_count 14:total_grid_point_updates_count 15:local_interior_points_per_second 16:total_interior_points_per_second 17:local_interior_point_updates_count 18:total_interior_point_updates_count 19:io_per_second 20:io_bytes_per_second 21:io_bytes_ascii_per_second 22:io_bytes_binary_per_second 23:io_count 24:io_bytes_count 25:io_bytes_ascii_count 26:io_bytes_binary_count 27:comm_per_second 28:comm_bytes_per_second 29:comm_count 30:comm_bytes_count 31:time_levels 32:current_walltime 33:syncs_count
139776 68.25 252.220751651226 243.661543363462 985.664295911789 974.14664888382 954.198599815369 0 31.4712202548981 819 143828.603383832 143828.603383832 140110152 140110152 103614.526740561 103614.526740561 100935744 100935744 723.263834057975 1461103.70033194 13424.3017763098 1447679.39855563 22762 45974861 422621 45552240 0 0 0 0 982.46688914299 1752340483.47032 174713
140288 68.5 252.379888605818 243.703430595037 988.616105079651 977.098458051682 957.091425895691 0 31.5629115104675 822 143919.351055369 143919.351055369 140623376 140623376 103679.901616058 103679.901616058 101305472 101305472 723.877311069069 1458693.35359953 13448.5111656811 1445244.84243385 22860 45993981 424173 45569808 0 0 0 0 985.40780544281 1752340486.42213 175352
140800 68.75 252.809767099902 243.73168906744 990.514632940292 978.996985912323 958.932780265808 0 31.5881805419922 825 144164.488788978 144164.488788978 141136600 141136600 103856.499522569 103856.499522569 101675200 101675200 724.53000892145 1456383.74904968 13472.5788377755 1442911.1702119 22886 45995512 425704 45569808 0 0 0 0 987.296378135681 1752340488.32066 175991
141312 69 252.452649949647 243.802735464766 995.464537858963 983.946890830994 963.797906637192 0 31.7384655475616 828 143960.843130842 143960.843130842 141649824 141649824 103709.79262287 103709.79262287 102044928 102044928 725.874496690915 1462356.05788603 13485.5519366519 1448870.50594938 23068 46639917 427245 46212672 0 0 0 0 992.234806060791 1752340493.27056 176630
141824 69.25 252.748407265335 243.837904980095 997.874011039734 986.356364011765 966.117455720901 0 31.7629065513611 831 144129.498411493 144129.498411493 142163048 142163048 103831.292357108 103831.292357108 102414656 102414656 727.093973769475 1468710.64987142 13493.8753809321 1455216.77449049 23094 46641407 428735 46212672 0 0 0 0 994.630891799927 1752340495.68004 177269
142336 69.5 252.584480129862 243.899583934992 1002.07731986046 990.559672832489 970.262273311615 0 31.855301618576 834 144036.019144631 144036.019144631 142676272 142676272 103763.949632726 103763.949632726 102784384 102784384 727.705991706043 1466331.06220289 13518.1006049993 1452812.96159789 23192 46660532 430292 46230240 0 0 0 0 998.820953369141 1752340499.88334 177908
142848 69.75 252.822081714669 243.937800878312 1004.70620989799 993.188562870026 972.834360361099 0 31.8788006305695 837 144171.511184366 144171.511184366 143189496 143189496 103861.558475779 103861.558475779 103154112 103154112 728.354342070008 1464045.94267374 13542.1071030206 1450503.83557071 23218 46662067 431827 46230240 0 0 0 0 1001.438560009 1752340502.51223 178547
143360 70 253.193078477076 243.969687611475 1006.80551791191 995.287870883942 974.821357250214 0 32.0539216995239 840 144383.07167591 144383.07167591 143702720 143702720 104013.967243525 104013.967243525 103523840 103523840 729.048363864819 1468678.55926744 13543.2974021652 1455135.26186527 23400 47306480 433376 46873104 0 0 0 0 1003.52682352066 1752340504.61154 179186
143872 70.25 252.661172018475 244.05026327647 1012.4628970623 1000.94525003433 980.393153905869 0 32.0764632225037 843 144079.7526089 144079.7526089 144215944 144215944 103795.455342274 103795.455342274 103893568 103893568 730.345730732852 1475152.35058907 13553.3670438146 1461598.98354525 23426 47307973 434869 46873104 0 0 0 0 1009.17218732834 1752340510.26892 179825
144384 70.5 253.019881506034 244.081569483476 1014.60087704659 1003.08323001862 982.479259490967 0 32.1548886299133 846 144284.306295614 144284.306295614 144729168 144729168 103942.816388292 103942.816388292 104263296 104263296 731.096432467564 1473087.3972355 13579.8267084375 1459507.57052707 23524 47327091 436419 46890672 0 0 0 0 1011.29718089104 1752340512.4069 180464
144896 70.75 252.667075827157 244.15156733257 1019.56350803375 1008.04586100578 987.390160322189 0 32.1790676116943 849 144083.119249241 144083.119249241 145242392 145242392 103797.880679359 103797.880679359 104633024 104633024 731.847994529259 1471044.0276313 13605.6404177883 1457438.38721351 23550 47328628 437956 46890672 0 0 0 0 1016.2444999218 1752340517.36953 181103
145408 71 253.058299895008 244.180731767538 1021.56157803535 1010.04393100739 989.285823583603 0 32.3447313308716 852 144306.21433924 144306.21433924 145755616 145755616 103958.59900398 103958.59900398 105002752 105002752 732.748169693565 1476061.8553849 13610.774014801 1462451.0813701 23732 47973039 439503 47533536 0 0 0 0 1018.23090100288 1752340519.3676 181742
145920 71.25 252.969242536872 244.238332492397 1025.47490692139 1013.95725989342 993.115790367126 0 32.3662014007568 855 144255.429479715 144255.429479715 146268840 146268840 103922.013449636 103922.013449636 105372480 105372480 734.074428767823 1482559.17059899 13621.1691459781 1468938.00145301 23758 47974521 440985 47533536 0 0 0 0 1022.13244152069 1752340523.28093 182381
146432 71.5 253.11472419216 244.281291737454 1028.44781899452 1016.93017196655 996.028586864471 0 32.4534287452698 858 144338.390231997 144338.390231997 146782064 146782064 103981.778606799 103981.778606799 105742208 105742208 734.625666162032 1480124.53865375 13643.907364172 1466480.63128958 23856 47993642 442538 47551104 0 0 0 0 1025.09438228607 1752340526.25384 183020
146944 71.75 253.49459049712 244.311920019711 1030.47430205345 1018.95665502548 998.004726648331 0 32.4750134944916 861 144555.008570327 144555.008570327 147295288 147295288 104137.831061466 104137.831061466 106111936 106111936 735.396127053579 1478151.820625 13669.9662518531 1464481.85437314 23882 47995178 444074 47551104 0 0 0 0 1027.109603405 1752340528.28033 183659
147456 72 253.157175195762 244.383487542507 1035.38750100136 1023.86985397339 1002.82544517517 0 32.6318964958191 864 144362.597869633 144362.597869633 147808512 147808512 103999.217856421 103999.217856421 106481664 106481664 736.501409125192 1483553.65698839 13678.8967618497 1469874.76022654 24064 48639586 445618 48193968 0 0 0 0 1031.98234367371 1752340533.19353 184298
147968 72.25 253.54929857758 244.412965070766 1037.35365390778 1025.83600687981 1004.70607304573 0 32.6523668766022 867 144586.205792422 144586.205792422 148321736 148321736 104160.305627213 104160.305627213 106851392 106851392 737.757572353588 1489876.57632385 13688.5486826237 1476188.02764122 24090 48641083 447115 48193968 0 0 0 0 1033.96533799171 1752340535.15968 184937
148480 72.5 253.60268089761 244.464077662743 1040.68657803535 1029.16893100739 1007.97157621384 0 32.7645528316498 870 144616.647001105 144616.647001105 148834960 148834960 104182.23555879 104182.23555879 107221120 107221120 738.132314090746 1487117.84475587 13707.9313779843 1473409.91337788 24188 48660204 448668 48211536 0 0 0 0 1037.28517889977 1752340538.4926 185576
148992 72.75 253.521858329643 244.521200354707 1044.56466603279 1033.04701900482 1011.77827048302 0 32.7914907932281 873 144570.558021525 144570.558021525 149348184 149348184 104149.032929447 104149.032929447 107590848 107590848 738.416028783828 1484198.55809173 13724.7474891487 1470473.81060258 24214 48661737 450201 48211536 0 0 0 0 1041.15314292908 1752340542.37069 186215
149504 73 253.871413488252 244.553771292153 1046.68736696243 1035.16971993446 1013.8032541275 0 32.9504964351654 876 144769.891462327 144769.891462327 149861408 149861408 104292.63329576 104292.63329576 107960576 107960576 739.384398844812 1489294.24509146 13731.3724188526 1475562.8726726 24396 49306147 451747 48854400 0 0 0 0 1043.26536369324 1752340544.49339 186854
150016 73.25 253.52581318478 244.626644984893 1051.64841985703 1040.13077282906 1018.68126964569 0 32.9734621047974 879 144572.813273273 144572.813273273 150374632 150374632 104150.657619091 104150.657619091 108330304 108330304 740.676699182964 1495653.05717714 13741.5274628212 1481911.52971432 24422 49307636 453236 48854400 0 0 0 0 1048.21501588821 1752340549.45444 187493
150528 73.5 253.913616354644 244.65645898141 1053.60433697701 1042.08668994904 1020.58405351639 0 33.0525686740875 882 144793.957599995 144793.957599995 150887856 150887856 104309.970608411 104309.970608411 108700032 108700032 741.362503117123 1493555.31907594 13766.6898148277 1479788.62926112 24520 49326761 454793 48871968 0 0 0 0 1050.15911078453 1752340551.41036 188132
151040 73.75 253.919231866585 244.710934814414 1057.1257250309 1045.60807800293 1024.05722093582 0 33.076493024826 885 144797.15983944 144797.15983944 151401080 151401080 104312.277510632 104312.277510632 109069760 109069760 742.156340953241 1491693.66289365 13792.8827590328 1477900.78013462 24546 49328292 456324 48871968 0 0 0 0 1053.6675798893 1752340554.93175 188771
151552 74 253.888867678261 244.76618286469 1060.7956340313 1049.27798700333 1027.63237476349 0 33.2274236679077 888 144779.844694787 144779.844694787 151914304 151914304 104299.803632165 104299.803632165 109439488 109439488 743.171827623255 1496857.21777619 13800.0911280836 1483057.1266481 24728 49972693 457861 49514832 0 0 0 0 1057.32727384567 1752340558.60166 189410
152064 74.25 254.239771579772 244.798673259352 1062.8873770237 1051.36972999573 1029.64450240135 0 33.2498722076416 891 144979.94725473 144979.94725473 152427528 152427528 104443.958074051 104443.958074051 109809216 109809216 744.520450808538 1503298.69386232 13811.621444175 1489487.07241814 24754 49974186 459354 49514832 0 0 0 0 1059.40760135651 1752340560.6934 190049
152576 74.5 253.90484614222 244.871979892147 1067.81887197495 1056.30122494698 1034.52272462845 0 33.3382873535156 894 144788.956396105 144788.956396105 152940752 152940752 104306.36772719 104306.36772719 110178944 110178944 745.191320238758 1501199.62768784 13836.1953773752 1487363.43231046 24852 49993305 460905 49532400 0 0 0 0 1064.3264169693 1752340565.6249 190688
153088 74.75 254.216208666703 244.906398184549 1070.06541395187 1058.5477669239 1036.71023750305 0 33.3606903553009 897 144966.510529733 144966.510529733 153453976 153453976 104434.278219914 104434.278219914 110548672 110548672 745.731327134936 1498856.25928882 13857.3693564233 1484998.8899324 24878 49994830 462430 49532400 0 0 0 0 1066.56274104118 1752340567.87144 191327
153600 75 253.728520667229 244.989443398083 1075.64713191986 1064.12948489189 1042.18671488762 0 33.5337047576904 900 144688.406989909 144688.406989909 153967200 153967200 104233.931654726 104233.931654726 110918400 110918400 746.493983500913 1503484.27969457 13860.2875018897 1489623.99219268 25060 50639240 463976 50175264 0 0 0 0 1072.13179707527 1752340573.45316 191966
