# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 21:18:01+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-19.17.52-432220
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-19.17.52-432220
#
# ADMBASE::betax (admbase-shift)
# 1:iteration 2:time 3:data
# data columns: 3:betax 4:betay 5:betaz
589312 287.75 -0.000290272011307332 -0.000290402463535193 -0.000290647573550564
589824 288 -0.000283850761517106 -0.000283845276802448 -0.00028399777399277
590336 288.25 -0.00027780950947341 -0.000277804246288794 -0.000277967973184242
590848 288.5 -0.000271798669103291 -0.000271773630254623 -0.000271940693568583
591360 288.75 -0.000265767122037694 -0.000265777497233885 -0.000265954473160177
591872 289 -0.000260468554687555 -0.00026034392447915 -0.000260598435425445
592384 289.25 -0.000255182980605605 -0.000255048773198374 -0.000255283598634568
592896 289.5 -0.000249896779373364 -0.000249787745777108 -0.000249976009139385
593408 289.75 -0.000244637816717701 -0.000244539768996601 -0.000244721725813978
593920 290 -0.0002393699928238 -0.000239287462611154 -0.000239476538123354
594432 290.25 -0.000234092559722398 -0.000234030946450555 -0.000234201522249792
594944 290.5 -0.000229472776334777 -0.000229381871669966 -0.000229587287432587
595456 290.75 -0.000224962000697068 -0.000224863433093392 -0.000225073277427808
595968 291 -0.000220421832137041 -0.000220317312891179 -0.000220530160897752
596480 291.25 -0.000215854052737942 -0.000215743773523555 -0.00021596066379288
596992 291.5 -0.000211259197518763 -0.000211140500342615 -0.000211364562873813
597504 291.75 -0.000206662415798255 -0.000206550125543299 -0.000206759039233055
598016 292 -0.00020208163292733 -0.00020197568826971 -0.000202179170841353
598528 292.25 -0.000197633514452292 -0.000197566512909603 -0.000197717764793627
599040 292.5 -0.000193811562348053 -0.000193739472106767 -0.000193894612688906
599552 292.75 -0.000189967519198796 -0.000189892632610338 -0.000190050432982003
600064 293 -0.000186106010494145 -0.000186029778132289 -0.000186190058048372
600576 293.25 -0.000182228267899251 -0.000182149623000234 -0.000182313778293209
601088 293.5 -0.000178333596645545 -0.000178250500872255 -0.000178419237389896
601600 293.75 -0.000174419946229233 -0.000174331237644547 -0.000174503228749588
602112 294 -0.000170483455338327 -0.000170389245693524 -0.000170562896877854
602624 294.25 -0.00016659286368074 -0.000166551866615156 -0.000166671087725219
603136 294.5 -0.000163340586996777 -0.000163296417279695 -0.000163417110771091
603648 294.75 -0.000160066784596422 -0.000160019540563414 -0.00016014244706633
604160 295 -0.000156780392274785 -0.000156730524684738 -0.000156856461889376
604672 295.25 -0.000153486999915739 -0.000153434409795845 -0.000153563701690456
605184 295.5 -0.000150181675286912 -0.000150126113671293 -0.00015025777874074
605696 295.75 -0.000146853384236562 -0.000146794821042905 -0.000146926681334241
606208 296 -0.000143495628070419 -0.000143434769101332 -0.000143565721148246
606720 296.25 -0.00014016820501224 -0.000140138897793088 -0.000140236103137291
607232 296.5 -0.000137404893332012 -0.000137374378722165 -0.00013747053707811
607744 296.75 -0.000134624496139465 -0.000134595266874327 -0.000134691301879517
608256 297 -0.000131822231997603 -0.000131795253106173 -0.000131891911559546
