# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 23:11:15+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-21.11.05-482568
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-21.11.05-482568
#
# CARPET::physical_time_per_hour (carpet-timing)
# 1:iteration 2:time 3:data
# data columns: 3:physical_time_per_hour 4:current_physical_time_per_hour 5:time_total 6:time_evolution 7:time_computing 8:time_communicating 9:time_io 10:evolution_steps_count 11:local_grid_points_per_second 12:total_grid_points_per_second 13:local_grid_point_updates_count 14:total_grid_point_updates_count 15:local_interior_points_per_second 16:total_interior_points_per_second 17:local_interior_point_updates_count 18:total_interior_point_updates_count 19:io_per_second 20:io_bytes_per_second 21:io_bytes_ascii_per_second 22:io_bytes_binary_per_second 23:io_count 24:io_bytes_count 25:io_bytes_ascii_count 26:io_bytes_binary_count 27:comm_per_second 28:comm_bytes_per_second 29:comm_count 30:comm_bytes_count 31:time_levels 32:current_walltime 33:syncs_count
13824 13.5 1151.61043776916 1204.70455403527 51.7047400474548 42.2017710208893 41.0601241588593 0 10.6481499671936 189 313064.017940392 313064.017940392 13211856 13211856 184175.777745268 184175.777745268 7772544 7772544 290.851265315923 380397.098625062 4802.14603654846 375594.952588514 3100 4049387 51323 3998064 0 0 0 0 51.3871779441833 1752354717.65714 41115
14336 14 1154.41596503923 1202.9445650636 53.1614089012146 43.658439874649 42.4010164737701 0 10.8125405311584 196 313826.697411508 313826.697411508 13701184 13701184 184624.462604318 184624.462604318 8060416 8060416 304.635729793594 415948.119938872 4889.50568994214 411058.61424893 3360 4602734 52814 4549920 0 0 0 0 52.832709312439 1752354719.11381 42623
14848 14.5 1156.35929146261 1201.25714789102 54.6446480751038 45.1416790485382 43.8212792873383 0 10.8270206451416 203 314354.988540452 314354.988540452 14190512 14190512 184935.256639957 184935.256639957 8348288 8348288 312.472028470742 425373.937660171 4994.65564373147 420379.282016439 3386 4604184 54264 4549920 0 0 0 0 54.3044199943542 1752354720.59705 44131
15360 15 1158.81049302683 1199.84858638651 56.1024780273438 46.5995090007782 45.2178170681 0 10.9109280109406 210 315021.344962129 315021.344962129 14679840 14679840 185327.274582566 185327.274582566 8636160 8636160 319.715975814995 424386.117059261 5103.97156218449 419282.145497077 3520 4624972 55756 4569216 0 0 0 0 55.7505543231964 1752354722.05488 45639
15872 15.5 1162.30001035006 1198.62069362905 57.5112280845642 48.0082590579987 46.5883646011353 0 10.9272933006287 217 315969.966369207 315969.966369207 15169168 15169168 185885.349210828 185885.349210828 8924032 8924032 324.273942027524 423535.367536033 5218.68648147796 418316.681054555 3546 4626428 57212 4569216 0 0 0 0 57.1457688808441 1752354723.46363 47147
16384 16 1162.33206162924 1197.43816247389 59.0585150718689 49.5555460453033 48.0180840492249 0 11.0964479446411 224 315978.679473839 315978.679473839 15658496 15658496 185890.475136295 185890.475136295 9211904 9211904 337.305671523334 457664.197134752 5299.24962893238 452364.94750582 3806 5179779 58707 5121072 0 0 0 0 58.6759080886841 1752354725.01091 48655
16896 16.5 1160.71446088717 1196.13062323252 60.6783459186554 51.1753768920898 49.5709943771362 0 11.1117875576019 231 315538.936509444 315538.936509444 16147824 16147824 185631.774046951 185631.774046951 9499776 9499776 344.636611679299 466450.078637863 5397.59633751541 461052.482300347 3832 5181233 60161 5121072 0 0 0 0 60.2911970615387 1752354726.63074 50163
17408 17 1163.13562738336 1195.14297803801 62.1193609237671 52.6163918972015 50.9484362602234 0 11.2000267505646 238 316197.127931246 316197.127931246 16637152 16637152 186018.988514501 186018.988514501 9787648 9787648 351.448077777527 465167.58070693 5501.42462248999 459666.15608444 3966 5202021 61653 5140368 0 0 0 0 61.7197332382202 1752354728.07176 51671
17920 17.5 1159.40808368489 1194.04651946998 63.8410410881042 54.3380720615387 52.6300792694092 0 11.2173979282379 245 315183.799318533 315183.799318533 17126480 17126480 185422.84659252 185422.84659252 10075520 10075520 355.723270179168 464123.336083723 5610.66936247238 458512.666721251 3992 5203478 63110 5140368 0 0 0 0 63.4294950962067 1752354729.79344 53179
18432 18 1136.84890518663 1191.488974378 66.5026280879974 56.9996590614319 55.1493237018585 0 11.4097654819489 252 309051.111709535 309051.111709535 17615808 17615808 181814.982241047 181814.982241047 10363392 10363392 367.293948807635 495878.451640336 5672.62162711225 490205.830013224 4252 5756826 64602 5692224 0 0 0 0 66.079238653183 1752354732.45503 54687
