# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 20:53:38+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-18.53.29-420299
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-18.53.29-420299
#
# HYDROBASE::press (hydrobase-press)
# 1:iteration 2:time 3:data
# data columns: 3:press
32256 37.8 0.000186431540906301
32768 38.4 0.000186807308137289
33280 39 0.000187195098371846
33792 39.6 0.000187600220846878
34304 40.2 0.000188027896082761
34816 40.8 0.000188479335767953
35328 41.4 0.00018895179510626
35840 42 0.000189442340170166
36352 42.6 0.000189950826947816
36864 43.2 0.000190478864561507
37376 43.8 0.000191026571978215
37888 44.4 0.000191591346055492
38400 45 0.000192169835976578
38912 45.6 0.000192760278182542
39424 46.2 0.000193362301878636
39936 46.8 0.000193974981867205
40448 47.4 0.000194596010943267
40960 48 0.000195222921029675
41472 48.6 0.000195854507201087
41984 49.2 0.000196490610375535
42496 49.8 0.000197130660596284
43008 50.4 0.000197772878706814
43520 51 0.000198415137871378
44032 51.6 0.00019905639042968
44544 52.2 0.000199696706472638
45056 52.8 0.000200335595281529
45568 53.4 0.000200970674230685
46080 54 0.000201598669692981
46592 54.6 0.000202217600471443
47104 55.2 0.00020282720002833
47616 55.8 0.00020342698570489
48128 56.4 0.000204014774713448
48640 57 0.000204587800514528
49152 57.6 0.000205144792802837
49664 58.2 0.000205685992289904
50176 58.8 0.000206211274651954
50688 59.4 0.000206719386766137
51200 60 0.000207209369062914
51712 60.6 0.000207681641182181
52224 61.2 0.000208136749652754
52736 61.8 0.000208573711174406
53248 62.4 0.000208990884618166
53760 63 0.000209388423024708
54272 63.6 0.000209768533183091
54784 64.2 0.000210132708851095
55296 64.8 0.000210479661816118
55808 65.4 0.000210806912750999
56320 66 0.000211113895017929
56832 66.6 0.000211402429921675
57344 67.2 0.000211674245577769
57856 67.8 0.000211929076643688
58368 68.4 0.000212165506285663
58880 69 0.000212382766579159
59392 69.6 0.0002125810265737
59904 70.2 0.00021276037831858
60416 70.8 0.000212920410927655
60928 71.4 0.000213060822427848
61440 72 0.000213181714413281
61952 72.6 0.000213282912146115
62464 73.2 0.000213363278682062
62976 73.8 0.000213421012358325
63488 74.4 0.000213454610607614
64000 75 0.00021346361960122
64512 75.6 0.000213448575396691
65024 76.2 0.00021341004579064
65536 76.8 0.000213347530432617
66048 77.4 0.000213259447568158
66560 78 0.000213144617066682
67072 78.6 0.000213003809301059
67584 79.2 0.000212839396416036
68096 79.8 0.000212653242486041
68608 80.4 0.000212445298280744
69120 81 0.000212214626156877
69632 81.6 0.000211961511650036
70144 82.2 0.000211688012504635
70656 82.8 0.00021139643651327
71168 83.4 0.000211087806587199
71680 84 0.000210762072100667
72192 84.6 0.000210419466696131
72704 85.2 0.000210061238400777
73216 85.8 0.000209689110048047
73728 86.4 0.000209304367221752
74240 87 0.000208907626796517
74752 87.6 0.000208499361622999
75264 88.2 0.000208080473248028
75776 88.8 0.000207652297609075
76288 89.4 0.000207216107316081
76800 90 0.000206772722776908
77312 90.6 0.000206322692459209
77824 91.2 0.000205866797274977
78336 91.8 0.00020540622631303
