# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 20:53:38+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-18.53.29-420299
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-18.53.29-420299
#
# CARPET::physical_time_per_hour (carpet-timing)
# 1:iteration 2:time 3:data
# data columns: 3:physical_time_per_hour 4:current_physical_time_per_hour 5:time_total 6:time_evolution 7:time_computing 8:time_communicating 9:time_io 10:evolution_steps_count 11:local_grid_points_per_second 12:total_grid_points_per_second 13:local_grid_point_updates_count 14:total_grid_point_updates_count 15:local_interior_points_per_second 16:total_interior_points_per_second 17:local_interior_point_updates_count 18:total_interior_point_updates_count 19:io_per_second 20:io_bytes_per_second 21:io_bytes_ascii_per_second 22:io_bytes_binary_per_second 23:io_count 24:io_bytes_count 25:io_bytes_ascii_count 26:io_bytes_binary_count 27:comm_per_second 28:comm_bytes_per_second 29:comm_count 30:comm_bytes_count 31:time_levels 32:current_walltime 33:syncs_count
12800 15 1613.66137120554 2041.22506225523 42.3301570415497 33.4642701148987 32.2646369934082 0 10.0673620700836 75 117283.299068658 117283.299068658 3924800 3924800 50800.4505749892 50800.4505749892 1700000 1700000 215.984866117416 238230.115138736 4828.16583421075 233401.949304525 2178 2398107 48795 2349312 0 0 0 0 42.0631725788116 1752346452.06341 16241
13312 15.6 1654.4813688877 2035.59614015155 42.8100588321686 33.9441719055176 32.707005739212 0 10.1343250274658 78 120250.156974267 120250.156974267 4081792 4081792 52085.5245760941 52085.5245760941 1768000 1768000 221.319236811579 237944.013347406 4953.05721345626 232990.956133949 2276 2411658 50250 2361408 0 0 0 0 42.5313487052917 1752346452.54332 16880
13824 16.2 1694.65746976258 2030.79469757192 43.2799210548401 34.4140341281891 33.1375331878662 0 10.1442468166351 81 123170.215506003 123170.215506003 4238784 4238784 53350.3277517849 53350.3277517849 1836000 1836000 226.573863092227 237906.6972835 5081.05198459304 232825.645298907 2302 2413150 51742 2361408 0 0 0 0 42.9938457012177 1752346453.01318 17519
14336 16.8 1618.67440254905 2000.49720728886 46.2297940254211 37.3639070987701 36.0108525753021 0 10.2786149978638 84 117647.653613417 117647.653613417 4395776 4395776 50958.268228396 50958.268228396 1904000 1904000 235.053700202189 245138.404229806 5188.69789584541 239949.706333961 2484 2739888 53232 2686656 0 0 0 0 45.9328119754791 1752346455.96305 18158
14848 17.4 1615.95674085215 1986.16161127371 47.6293008327484 38.7634139060974 37.3433740139008 0 10.2884829044342 87 117450.129935121 117450.129935121 4552768 4552768 50872.7122120121 50872.7122120121 1972000 1972000 243.633854696309 266497.035053483 5299.76549124497 261197.269562238 2510 2741374 54718 2686656 0 0 0 0 47.3243138790131 1752346457.36256 18797
15360 18 1652.58442395903 1982.24489651874 48.0771968364716 39.2113099098206 37.7565340995789 0 10.3448519706726 90 120112.284206563 120112.284206563 4709760 4709760 52025.8059394511 52025.8059394511 2040000 2040000 248.821230328583 266190.754415364 5426.10503100894 260764.649384355 2608 2754953 56201 2698752 0 0 0 0 47.7622590065002 1752346457.81045 19436
15872 18.6 1689.7131530747 1979.04633008254 48.4939148426056 39.6280279159546 38.1423859596252 0 10.3538496494293 93 122810.855244215 122810.855244215 4866752 4866752 53194.673337537 53194.673337537 2108000 2108000 254.068749624431 266259.895630649 5549.42179550397 260710.473835145 2634 2756404 57652 2698752 0 0 0 0 48.169828414917 1752346458.22717 20075
16384 19.2 1723.12188287753 1975.85007403752 48.9791259765625 40.1132390499115 38.564786195755 0 10.4678468704224 96 125239.051220699 125239.051220699 5023744 5023744 54246.4296461445 54246.4296461445 2176000 2176000 262.522642581575 273498.758437777 5658.83207580832 267839.926361969 2816 3083142 59142 3024000 0 0 0 0 48.6397862434387 1752346458.71238 20714
16896 19.8 1746.64262827048 1971.78989737341 49.6756088733673 40.8097219467163 39.2011709213257 0 10.4764697551727 99 126948.573841407 126948.573841407 5180736 5180736 54986.8975566632 54986.8975566632 2244000 2244000 270.945325467018 294471.933875822 5769.09236339709 288702.841512425 2842 3084635 60635 3024000 0 0 0 0 49.3327260017395 1752346459.40887 21353
17408 20.4 1779.16018540066 1969.5094961575 50.1437890529633 41.2779021263123 39.6355676651001 0 10.5348680019379 102 129311.998067787 129311.998067787 5337728 5337728 56010.59842928 56010.59842928 2312000 2312000 275.974391189498 294106.384508564 5893.19521489381 288213.18929367 2940 3098232 62136 3036096 0 0 0 0 49.7914457321167 1752346459.87705 21992
